===========  Loading files ===========
Loading richards.js
===========  Data flow analysis ===========
richards.js:251:5 (node transfers: 1809, worklist size: 3)
richards.js:252:7 (node transfers: 1810, worklist size: 4)
richards.js:254:7 (node transfers: 1816, worklist size: 3)
richards.js:255:25 (node transfers: 1827, worklist size: 3)
richards.js:384:34 (node transfers: 1828, worklist size: 3)
richards.js:386:7 (node transfers: 1830, worklist size: 3)
richards.js:387:14 (node transfers: 1835, worklist size: 4)
richards.js:392:7 (node transfers: 1848, worklist size: 6)
richards.js:395:14 (node transfers: 1851, worklist size: 6)
richards.js:390:7 (node transfers: 1853, worklist size: 5)
richards.js:397:10 (node transfers: 1856, worklist size: 4)
richards.js:397:10 (node transfers: 1861, worklist size: 4)
richards.js:525:29 (node transfers: 1862, worklist size: 8)
richards.js:526:7 (node transfers: 1865, worklist size: 8)
richards.js:527:9 (node transfers: 1869, worklist size: 9)
richards.js:528:7 (node transfers: 1875, worklist size: 11)
richards.js:528:17 (node transfers: 1881, worklist size: 11)
richards.js:587:26 (node transfers: 1882, worklist size: 12)
richards.js:588:3 (node transfers: 1885, worklist size: 12)
richards.js:589:29 (node transfers: 1892, worklist size: 13)
richards.js:590:20 (node transfers: 1893, worklist size: 13)
richards.js:591:18 (node transfers: 1895, worklist size: 13)
richards.js:592:12 (node transfers: 1902, worklist size: 15)
richards.js:593:3 (node transfers: 1904, worklist size: 14)
richards.js:595:1 (node transfers: 1909, worklist size: 13)
richards.js:595:1 (node transfers: 1910, worklist size: 12)
richards.js:528:7 (node transfers: 1911, worklist size: 11)
richards.js:530:7 (node transfers: 1912, worklist size: 10)
richards.js:530:17 (node transfers: 1918, worklist size: 10)
richards.js:587:26 (node transfers: 1919, worklist size: 11)
richards.js:588:3 (node transfers: 1922, worklist size: 11)
richards.js:589:29 (node transfers: 1929, worklist size: 12)
richards.js:590:20 (node transfers: 1930, worklist size: 12)
richards.js:591:18 (node transfers: 1932, worklist size: 12)
richards.js:592:12 (node transfers: 1939, worklist size: 14)
richards.js:593:3 (node transfers: 1941, worklist size: 13)
richards.js:595:1 (node transfers: 1946, worklist size: 12)
richards.js:595:1 (node transfers: 1947, worklist size: 11)
richards.js:530:7 (node transfers: 1948, worklist size: 10)
richards.js:533:7 (node transfers: 1949, worklist size: 9)
richards.js:534:17 (node transfers: 1954, worklist size: 10)
richards.js:537:11 (node transfers: 1963, worklist size: 11)
richards.js:538:13 (node transfers: 1968, worklist size: 11)
richards.js:542:16 (node transfers: 1999, worklist size: 11)
richards.js:301:29 (node transfers: 2000, worklist size: 12)
richards.js:302:11 (node transfers: 2002, worklist size: 12)
richards.js:303:25 (node transfers: 2014, worklist size: 13)
richards.js:304:3 (node transfers: 2015, worklist size: 13)
richards.js:307:10 (node transfers: 2036, worklist size: 14)
richards.js:405:47 (node transfers: 2037, worklist size: 14)
richards.js:406:7 (node transfers: 2038, worklist size: 14)
richards.js:407:5 (node transfers: 2043, worklist size: 15)
richards.js:408:5 (node transfers: 2048, worklist size: 15)
richards.js:409:9 (node transfers: 2049, worklist size: 15)
richards.js:409:47 (node transfers: 2056, worklist size: 16)
richards.js:411:5 (node transfers: 2057, worklist size: 16)
richards.js:411:18 (node transfers: 2063, worklist size: 16)
richards.js:587:26 (node transfers: 2064, worklist size: 16)
richards.js:588:3 (node transfers: 2067, worklist size: 16)
richards.js:589:29 (node transfers: 2074, worklist size: 17)
richards.js:590:20 (node transfers: 2075, worklist size: 17)
richards.js:591:18 (node transfers: 2077, worklist size: 17)
richards.js:592:12 (node transfers: 2084, worklist size: 19)
richards.js:591:18 (node transfers: 2086, worklist size: 19)
richards.js:593:3 (node transfers: 2093, worklist size: 18)
richards.js:595:1 (node transfers: 2098, worklist size: 17)
richards.js:595:1 (node transfers: 2099, worklist size: 17)
richards.js:411:5 (node transfers: 2100, worklist size: 17)
richards.js:413:10 (node transfers: 2101, worklist size: 16)
richards.js:414:1 (node transfers: 2102, worklist size: 15)
richards.js:414:1 (node transfers: 2103, worklist size: 14)
richards.js:308:1 (node transfers: 2104, worklist size: 13)
richards.js:308:1 (node transfers: 2105, worklist size: 12)
richards.js:550:10 (node transfers: 2106, worklist size: 11)
richards.js:550:10 (node transfers: 2110, worklist size: 11)
richards.js:545:11 (node transfers: 2111, worklist size: 10)
richards.js:547:14 (node transfers: 2125, worklist size: 10)
richards.js:301:29 (node transfers: 2126, worklist size: 10)
richards.js:302:11 (node transfers: 2128, worklist size: 10)
richards.js:303:25 (node transfers: 2140, worklist size: 12)
richards.js:304:3 (node transfers: 2141, worklist size: 11)
richards.js:307:10 (node transfers: 2162, worklist size: 11)
richards.js:308:1 (node transfers: 2163, worklist size: 10)
richards.js:551:1 (node transfers: 2164, worklist size: 9)
richards.js:551:1 (node transfers: 2165, worklist size: 8)
richards.js:490:28 (node transfers: 2166, worklist size: 7)
richards.js:491:7 (node transfers: 2168, worklist size: 7)
richards.js:492:12 (node transfers: 2172, worklist size: 8)
richards.js:494:9 (node transfers: 2176, worklist size: 8)
richards.js:495:7 (node transfers: 2181, worklist size: 9)
richards.js:497:7 (node transfers: 2184, worklist size: 9)
richards.js:492:12 (node transfers: 2187, worklist size: 8)
richards.js:499:5 (node transfers: 2188, worklist size: 8)
richards.js:501:21 (node transfers: 2199, worklist size: 9)
richards.js:502:7 (node transfers: 2203, worklist size: 10)
richards.js:503:25 (node transfers: 2214, worklist size: 11)
richards.js:504:7 (node transfers: 2217, worklist size: 10)
richards.js:501:21 (node transfers: 2230, worklist size: 10)
richards.js:502:7 (node transfers: 2234, worklist size: 10)
richards.js:503:25 (node transfers: 2245, worklist size: 11)
richards.js:504:7 (node transfers: 2248, worklist size: 10)
richards.js:506:12 (node transfers: 2261, worklist size: 9)
richards.js:506:12 (node transfers: 2266, worklist size: 9)
richards.js:508:1 (node transfers: 2267, worklist size: 8)
richards.js:508:1 (node transfers: 2268, worklist size: 7)
richards.js:434:26 (node transfers: 2269, worklist size: 6)
richards.js:435:3 (node transfers: 2270, worklist size: 6)
richards.js:436:31 (node transfers: 2281, worklist size: 7)
richards.js:437:8 (node transfers: 2285, worklist size: 7)
richards.js:438:5 (node transfers: 2292, worklist size: 8)
richards.js:439:12 (node transfers: 2303, worklist size: 8)
richards.js:264:31 (node transfers: 2304, worklist size: 10)
richards.js:265:13 (node transfers: 2306, worklist size: 10)
richards.js:267:3 (node transfers: 2316, worklist size: 11)
richards.js:266:27 (node transfers: 2319, worklist size: 12)
richards.js:267:3 (node transfers: 2320, worklist size: 12)
